Source	Entry	Target	weight
CKII	2min	IGF2R_S2409	 56
AMPK	2min	GFPT1_S261	 62
ERK2	20min	SLC9A1_S785	 66
ERK2	2min	TPR_S2155	 66
ERK2	10min	TPR_T2116	 65
ERK2	10min	TPR_T2137	 56
PKC	20min	LMNA_S403	 60
DYRK2	2min	CARHSP1_S30	 23
PAK1	20min	MORC2_S739	 59
PKC	2min	CTNND1_S879	 65
P70S6K	20min	NCBP1_T21	 65
AKT	2min	PEA15_S116	 70
CAMKK2	2min	T183	 51
GNAQ_11	2min	CAMKK2	 96
PDK1	20min	T423	 60
T183	2min	AMPK	 51
T423	20min	PAK1	 60
P38	2min	PKD1_S397	 65
P38	2min	PKD1_S401	 71
nPKC-ε	1	PKD1_S742	 10
ERK2	30min	CTTN_S405	 64
CKII	30min	HMGN1_S89	 60
PKC	10min	ANXA2_S12	 66
PKC	30min	AFAP1_S277	 61
CKII	2min	MYH10_S1952	 61
CDK1	30min	CUX1_S1237	 62
PKC	2min	KPCE_S368	 18
KPCE_S368	2min	nPKC-ε	 18
EGFR	2min	CRK_Y221	 47
CDK1	10min	ADD1_S12	 62
PKD1_S397	2min	PKD1	 60
nPKC-ε	2min	PKD2_S710	 62
PDK1	2min	AKT_S472	 38
ATM	2min	TAOK3_S324	 65
CDK2	2min	RRM2_S20	  8
ERK2	2min	EXOC7_S250	 42
CKII	2min	EIF4B_S498	 25
PDHK1	2min	PDHA2_S291	 87
PDHK1	2min	PDHA2_S298	 61
CAMKII	2min	STMN1_S16	 38
PKA	2min	PPP1R9B_S100	 57
AKT	2min	T346	 93
GNAQ_11	2min	CAMKII	 83
T346	2min	PDHK1	 93
AKT_S472	2min	AKT	 38
ATM	20min	DNPK1_S2612	 66
CDK1	60min	HMGA1_S36	 65
MEK1	10min	ERK1_T202	 43
AMPK	60min	PFKFB2_S466	 50
CDK1	30min	CALD1_S724	 63
ERK2	90min	TOP2A_S1213	 43
CDK1	60min	LMNA_S22	 55
CDK1	60min	LMNA_T19	 55
nPKC-δ	20min	TRIM28_S473	 60
PKA	2min	HSPB1_S82	 63
PAK1	30min	CTTN_S405	 11
P70S6K	20min	RPS6_S235	 69
PKC	20min	PKD1_S742	 34
PKC	20min	PKD1_S738	 27
MKK6	2min	p38_Y182	  1
ASK1	2min	MP2K6_T211	 11
SRC	2min	Y313	 80
PDK1	1	KS6B1_S427	 10
p38_Y182	2min	P38	 10
MP2K6_T211	2min	MKK6	 11
Y313	2min	nPKC-δ	 80
KS6B1_S427	1	P70S6K	 10
ERK2	60min	ETS1_T38	 55
ERK2	20min	GORASP2_T222	 19
NUAK1	10min	PPP1R12A_S910	 61
AKT	2min	S600	 87
S600	2min	NUAK1	 87
CKII	30min	HMGN1_S86	 64
RSKL	30min	PLA2G4A_S727	 63
PKA	30min	CUX1_S1215	 68
PKA	2min	CUX1_S1237	 22
CKII	30min	KS6A5_S758	 13
KS6A5_S758	30min	RSKL	 13
CDK1	20min	TOP1_S112	 64
PKD1	10min	PKD1_S219	 56
CKII	2min	MYH10_S1956	 84
PDK1	2min	AKT_T305	 56
ATM	2min	BRCA1_S1542	 60
CDK1	2min	RRM2_S20	 68
AKT_T305	2min	AKT	 56
CDK1	90min	TOP2A_S1247	 20
PKC	2min	PTPN12_S435	 15
PKA	60min	GSK3-β_S9	 18
ATR	1	S1981	  9
PKA	1	S435	 14
MKK6	2min	p38_T183	 13
ASK1	2min	S207	 10
PDK1	10min	T412	 42
S1981	1	ATM	  9
S435	1	ATR	 14
AKT_S473	2min	AKT	  6
p38_T183	2min	P38	 42
S207	2min	MKK6	 10
T412	10min	P70S6K	 42
nPKC-δ	20min	PKD1_S738	 30
nPKC-δ	20min	PKD1_S742	 44
PKC	2min	S234	 44
CAMKK2	2min	AAPK_T198	  5
S234	2min	nPKC-ε	 44
AAPK_T198	2min	AMPK	  5
CAMKII	2min	PLCB3_S537	 64
CKII	30min	S757	 36
PKD1_S401	10min	PKD1	 22
S757	30min	RSKL	 36
IGF1R	2min	CRK_Y221	  1
SRC	2min	IGF1R_Y1165	  1
IGF1R_Y1165	2min	IGF1R	  1
PKD1	10min	BAD_S118	 20
nPKC-δ	2min	nPKC-δ_S304	 74
PDK1	2min	AKT_S473	  5
TGFR2	2min	BRCA1_S1542	  7
PKA	2min	STMN1_S16	  7
SRC	2min	TGFR2_Y309	  6
TGFR2_Y309	2min	TGFR2	  6
JAK2	10min	ERK1_Y204	  1
DYR1B	10min	ERK2_Y187	  1
ERK2	10min	NUP50_S221	 37
DYRK2	60min	DPYSL3_T509	 30
AKT	60min	PFKFB2_S466	  7
PKA	90min	ACLY_S455	 38
EGFR	10min	JAK2_Y813	  1
ERK2	10min	DYR1B_S421	  1
MKK6	2min	Y185	  7
ERK2_Y187	2min	ERK2	 57
JAK2_Y813	10min	JAK2	  1
DYR1B_S421	10min	DYR1B	  1
Y185	2min	P38	 31
nPKC-ε	20min	PKD1_S738	 10
ERK2	20min	T733	 62
T733	20min	ERK5	 62
ERK5	20min	MEF2D_S180	 62
RAF1	10min	BAD_S118	 24
KCC4	2min	STMN1_S16	 22
NUAK1	2min	PPP1R12A_S445	 67
CAMKK2	2min	KCC4_T200	 22
KCC4_T200	2min	KCC4	 22
ATM	2min	RNF20_S522	 62
CDK2	60min	HMGA1_S36	  5
SRC	2min	EGFR_T693	 23
MKK4	2min	Y185	 24
ASK1	2min	T261	 26
EGFR_T693	2min	EGFR	 23
T261	2min	MKK4	 26
ERK2	20min	GORASP2_T225	 20
MP2K2	10min	ERK1_T202	 22
MP2K2	10min	ERK1_Y204	 20
MP2K2	10min	ERK2_T185	 23
MP2K2	10min	ERK2_Y187	 22
CDK1	90min	TOP2A_S1213	 21
AKT	90min	ACLY_S455	 23
RAF1	10min	MP2K2_S222	 28
CAMKK2	1	AAPK_T172	 18
CKII	30min	KS6A5_S760	  6
ATM	1	DYRK2_S442	  9
MP2K2_S222	10min	MP2K2	 28
AAPK_T172	1	AMPK	 18
KS6A5_S760	30min	RSKL	  6
DYRK2_S442	1	DYRK2	  9
DYRK2	2min	CARHSP1_S32	 25
WEE1	10min	CDK1_Y15	  4
AKT	10min	WEE1_S642	  4
CDK1_Y15	10min	CDK1	  4
WEE1_S642	10min	WEE1	  4
PKC	60min	GSK3-β_S9	 20
SRC	20min	KPCD_Y334	  8
KPCD_Y334	20min	nPKC-δ	  8
MEK1	60min	GSK3-β_S9	 13
AKT	10min	FAM129A_S602	 20
PDK1	10min	KS6B1_T252	  4
KS6B1_T252	10min	P70S6K	  4
ERK5	60min	ETS1_T38	  6
CDK1	2min	EFHD2_S74	 61
CDK1	10min	NUP50_S221	 25
PKD1_S742	2min	PKD1	 10
AKT	10min	BAD_S118	 12
PKA	60min	PFKFB2_S466	  7
ABL1	30min	CDK5_Y15	  1
SRC	2min	ABL1_Y488	  1
CDK5_Y15	30min	CDK5	  1
ABL1_Y488	2min	ABL1	  1
MKK3	2min	p38_T183	 28
ASK1	2min	S218	 28
S218	2min	MKK3	 28
ABL1	2min	CRK_Y221	  1
CDK2	1	S39	  2
PKA	30min	S242	 19
S242	30min	CKI-α	 19
CHK2	20min	TRIM28_S473	  4
ATR	20min	CHK2_S35	  4
CHK2_S35	20min	CHK2	  4
PKA	10min	BAD_S118	  6
PKC	2min	KPCD1_S249	  2
ASK1	2min	PDPK1_S398	  4
KPCD1_S249	2min	PKD1	  2
PDPK1_S398	2min	PDK1	  4
CKII	30min	KS6A5_T793	  1
KS6A5_T793	30min	RSKL	  1
PKC	2min	EGFR_T678	  5
EGFR_T678	2min	EGFR	  5
SRC	2min	KPCD1_Y95	  3
ERK2	30min	T581	  3
ASK1	2min	PDPK1_S394	  4
KPCD1_Y95	2min	PKD1	  3
T581	30min	RSKL	  4
PDPK1_S394	2min	PDK1	  4
PDK1	1	KS6B1_T470	  3
KS6B1_T470	1	P70S6K	  3
ATR	20min	DNPK1_S2612	  4
RSK2	20min	RPS6_S236	  2
SRC	20min	KS6A3_Y707	  2
KS6A3_Y707	20min	RSK2	  2
PDK1	1	KS6B1_S441	  4
KS6B1_S441	1	P70S6K	  4
MKK4	2min	p38_Y182	  9
CKII	30min	KS6A5_S759	  3
KS6A5_S759	30min	RSKL	  3
PDK1	1	KS6B1_S403	  2
KS6B1_S403	1	P70S6K	  2
PKD1_S219	10min	PKD1	  1
RAF1	10min	MP2K1_T286	  4
ABL1	30min	S159	 11
SRC	30min	ABL1_Y412	 11
MP2K1_T286	10min	MEK1	  4
ABL1_Y412	30min	ABL1	 11
KS6A1	20min	RPS6_S236	  1
PDK1	20min	KS6A1_T359	  1
KS6A1_T359	20min	KS6A1	  1
SRC	2min	EGFR_Y727	  1
EGFR_Y727	2min	EGFR	  1
nPKC-ε	10min	BAD_S118	  1
PDK1	20min	KS6B1_T229	  1
KS6B1_T229	20min	P70S6K	  1
MKK4	2min	p38_T183	  1
CDK2	60min	LMNA_T19	  4
RSK2	20min	RPS6_S235	  1
P38	30min	T581	  1
PKC	2min	AKT_S473	  1
PAK1	2min	CRK_Y221	  2
SRC	2min	TGFR2_Y284	  1
TGFR2_Y284	2min	TGFR2	  1
INSR	2min	CRK_Y221	  2
PKC	2min	INSR_Y999	  1
INSR_Y999	2min	INSR	  1
FYN	2min	p38_Y323	  1
PKA	2min	FYN_S21	  1
p38_Y323	2min	P38	  1
FYN_S21	2min	FYN	  1
PKD1	2min	HSPB1_S82	  1
PKC	2min	INSR_T1362	  1
INSR_T1362	2min	INSR	  1
SRC	2min	KPCD1_Y432	  1
KPCD1_Y432	2min	PKD1	  1
